Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Ghana,GHA,13167340507.2804,20062001962.2277,49406010054.2663,51072704881.7252,55224351374.4489,58648304058.6438,62465003607.231,62786037290.3279,65973349399.4486,68491885061.4641,70508824388.0172,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Greece,GRC,157426167819.385,194535951163.524,194567373678.099,194505510567.857,197370819841.305,201445880947.483,206033167541.336,187085880547.56,203277224063.029,214952754695.546,219965719224.042,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Greenland,GRL,1490388563.1779,1776741578.35367,2499113022.81675,2616120347.69515,2617499780.41644,2633808516.64035,2708402650.63237,2713483852.17536,2748493505.41834,..,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Grenada,GRD,510049757.237171,717463922.03278,997007407.407407,1034291535.85512,1080200382.60863,1127312678.42806,1134939081.03144,978809798.804488,1024691294.44286,1099706286.21882,1138923226.80272,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Guam,GUM,..,..,5799000000,5809553230.20928,5861264058.23476,5812719199.27207,5959409099.18107,5332547224.74977,5442300818.9263,5719850773.43039,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Guatemala,GTM,24741758600.2768,37033784129.5252,62186064718.7424,63851284748.839,65817809494.3628,68060138938.4754,70794725855.0224,69530649250.79,75116232449.1983,78271231309.9524,81031694944.9788,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Guinea,GIN,3528427545.98221,5176459579.46449,8794201742.84609,9745789528.35549,10749606370.4679,11433119223.7578,12075307751.6835,12643401588.6985,13349198344.073,13879482945.938,14815644972.1281,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Guinea-Bissau,GNB,554182863.783592,705153195.39567,1152384166.79638,1213536542.70894,1271652706.03289,1319485332.4773,1392722780.6646,1413547808.38589,1500942899.13729,1570073804.59512,1651706154.16341,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Guyana,GUY,1782661480.13403,2875468427.07822,4279840193.7046,4442793237.23993,4608708975.07815,4813377725.77348,5071030135.73162,7275896377.20418,8735443232.30197,14268000140.0066,19090957594.0449,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Haiti,HTI,11154318515.4634,11150259169.2375,14849629308.6025,15118774099.5928,15498296353.5977,15756778637.9976,15485274058.243,14973407477.2561,14704149691.2104,14456828250.6294,14187369712.6764,..
