Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Population, total",SP.POP.TOTL,Botswana,BWA,1305696,1677382,2203273,2234776,2266747,2299141,2332083,2365894,2401441,2439892,2480244,..
"Population, total",SP.POP.TOTL,Brazil,BRA,149143223,174018282,201675532,203218114,204703445,206107261,207455459,208660842,209550294,210306415,211140729,..
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,15704,20241,34498,33878,32699,34657,36395,37135,37809,38319,38985,..
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,255292,326424,422212,427564,432772,437810,442680,447404,451721,455370,458949,..
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8170172,7177991,7127822,7075947,7025037,6975761,6934015,6877743,6643324,6446596,..
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,9159356,11925546,18777487,19334856,19894407,20438288,20961952,21478690,21995243,22509038,23025776,..
"Population, total",SP.POP.TOTL,Burundi,BDI,5587052,6470194,11047580,11239451,11506762,11859446,12255336,12617036,12965481,13321097,13689450,..
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,375428,453317,512394,512554,512893,513415,514104,514679,516649,519741,522331,..
"Population, total",SP.POP.TOTL,Cambodia,KHM,7374752,12462336,15623251,15852803,16073372,16274522,16481304,16725474,16974305,17201724,17423880,..
"Population, total",SP.POP.TOTL,Cameroon,CMR,11331821,14912631,22763414,23454161,24128601,24806383,25506095,26210558,26915758,27632771,28372687,..
"Population, total",SP.POP.TOTL,Canada,CAN,27691138,30685730,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38939056,40097761,..
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,25999,39674,61642,63100,64535,65941,67327,68684,70108,71591,73038,..
"Population, total",SP.POP.TOTL,Central African Republic,CAF,2871910,3833416,4629320,4713663,4793511,4878657,4944703,5026628,5112100,5098039,5152421,..
"Population, total",SP.POP.TOTL,Chad,TCD,5982833,8512093,14647621,15114655,15622759,16156531,16685223,17224679,17828273,18455316,19319064,..
"Population, total",SP.POP.TOTL,Channel Islands,CHI,143087,148110,163454,163883,164319,164949,165639,166235,166741,167215,167691,..
"Population, total",SP.POP.TOTL,Chile,CHL,13437176,15503635,18047625,18267221,18558868,18893191,19197744,19370624,19456334,19553036,19658835,..
"Population, total",SP.POP.TOTL,China,CHN,1135185000,1262645000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000,..
"Population, total",SP.POP.TOTL,Colombia,COL,32440069,39089934,46969940,47437512,48131078,49024465,49907985,50629997,51188173,51737944,52321152,..
"Population, total",SP.POP.TOTL,Comoros,COM,444596,536080,726682,741741,756669,771590,786578,802163,818174,834188,850387,..
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,36684063,50507442,81035531,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789731,..
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,2380560,3151345,5097581,5222536,5351011,5483118,5616661,5752791,5892183,6035104,6182885,..
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3121706,3937739,4818038,4866998,4913177,4957818,4999553,5034320,5059988,5081765,5105525,..
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,12189778,17699004,25246342,25989405,26733372,27464173,28193009,28915449,29639736,30395002,31165654,..
"Population, total",SP.POP.TOTL,Croatia,HRV,4777368,4468302,4151725,4106867,4041407,3988775,3949390,3914206,3878981,3855641,3859686,..
"Population, total",SP.POP.TOTL,Cuba,CUB,10631799,11109109,11275065,11265612,11247829,11227118,11202846,11176354,11122168,11059820,11019931,..
"Population, total",SP.POP.TOTL,Curacao,CUW,145400,133860,157980,159664,160175,159336,157441,154947,152369,149996,147862,..
"Population, total",SP.POP.TOTL,Cyprus,CYP,788351,947667,1219502,1237112,1254275,1270737,1286671,1302247,1317309,1331370,1344976,..
"Population, total",SP.POP.TOTL,Czechia,CZE,10333355,10255063,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118,10864042,..
"Population, total",SP.POP.TOTL,Denmark,DNK,5140939,5339616,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037,5946952,..
"Population, total",SP.POP.TOTL,Djibouti,DJI,579538,747318,1020313,1037653,1054841,1071882,1088709,1105188,1121248,1137096,1152944,..
"Population, total",SP.POP.TOTL,Dominica,DMA,69627,68511,70410,69606,68496,68174,67880,67573,67202,66826,66510,..
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,7151166,8584190,10434829,10551430,10666843,10782053,10894043,11008300,11123476,11230734,11331265,..
"Population, total",SP.POP.TOTL,Ecuador,ECU,10473673,12689206,16266225,16505139,16759519,17049547,17340021,17546065,17682454,17823897,17980083,..
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,58396618,73083284,99597342,101644589,103696057,105682094,107553158,109315124,110957008,112618250,114535772,..
"Population, total",SP.POP.TOTL,El Salvador,SLV,5399726,5943366,6183676,6200800,6213533,6219807,6222318,6234673,6255782,6280319,6309624,..
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,474274,703279,1453923,1508186,1562396,1616422,1670177,1716468,1758786,1803545,1847549,..
"Population, total",SP.POP.TOTL,Eritrea,ERI,2032737,2247031,3105546,3124698,3150347,3192760,3240194,3291271,3350183,3409447,3470390,..
"Population, total",SP.POP.TOTL,Estonia,EST,1569174,1396985,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1348840,1370286,..
"Population, total",SP.POP.TOTL,Eswatini,SWZ,872428,1041414,1142813,1149507,1158195,1168929,1179874,1192729,1206593,1218917,1230506,..
"Population, total",SP.POP.TOTL,Ethiopia,ETH,47609755,67411494,103867135,106718162,109666481,112664152,115737383,118917671,122138588,125384287,128691692,..
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,47740,45754,48901,49464,50182,50998,51795,52571,53315,53952,54482,..
"Population, total",SP.POP.TOTL,Fiji,FJI,773316,840909,918578,919166,918759,917180,914899,914963,916711,919422,924145,..
"Population, total",SP.POP.TOTL,Finland,FIN,4986431,5176209,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106,5583911,..
"Population, total",SP.POP.TOTL,France,FRA,58261012,60918661,66548272,66724104,66918020,67158348,67382061,67601110,67842811,68065015,68287487,..
"Population, total",SP.POP.TOTL,French Polynesia,PYF,203776,240337,277866,279178,280087,279815,279034,279209,279792,280378,281118,..
"Population, total",SP.POP.TOTL,Gabon,GAB,983734,1275572,2040989,2100306,2156900,2212318,2267706,2322539,2376722,2430747,2484789,..
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1054696,1455084,2224529,2283769,2342189,2399632,2456844,2515733,2576010,2636470,2697845,..
"Population, total",SP.POP.TOTL,Georgia,GEO,4802000,4077131,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502,3715483,..
"Population, total",SP.POP.TOTL,Germany,DEU,79433029,82211508,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,83280000,..
"Population, total",SP.POP.TOTL,Ghana,GHA,15394648,19637087,28696068,29356742,30008354,30637585,31258945,31887809,32518665,33149152,33787914,..
"Population, total",SP.POP.TOTL,Gibraltar,GIB,27200,27709,33193,33658,34245,34854,35494,36173,36858,37609,38471,..
"Population, total",SP.POP.TOTL,Greece,GRC,10196792,10805808,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10436882,10405588,..
"Population, total",SP.POP.TOTL,Greenland,GRL,55600,56200,56114,56186,56172,56023,56225,56367,56653,56661,56865,..
"Population, total",SP.POP.TOTL,Grenada,GRD,99957,107451,114676,115130,115438,115691,115981,116341,116688,116913,117081,..
"Population, total",SP.POP.TOTL,Guam,GUM,138610,160065,164905,164233,163490,162679,161808,162158,163730,165180,166506,..
"Population, total",SP.POP.TOTL,Guatemala,GTM,9024773,11697592,15971743,16268760,16567357,16845685,17103803,17357325,17598650,17847877,18124838,..
"Population, total",SP.POP.TOTL,Guinea,GIN,6434374,8428832,11767070,12073030,12385659,12704774,13034346,13371183,13710513,14055137,14405468,..
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,973669,1234741,1786457,1831893,1877072,1922168,1967696,2013255,2058841,2105529,2153339,..
"Population, total",SP.POP.TOTL,Guyana,GUY,749894,764832,758781,763548,768479,791556,807665,807481,815482,821637,826353,..
"Population, total",SP.POP.TOTL,Haiti,HTI,6854441,8303151,10523242,10671457,10817754,10962362,11105163,11243848,11374586,11503606,11637398,..
"Population, total",SP.POP.TOTL,Honduras,HND,4980488,6577773,9237305,9412380,9588137,9765210,9943633,10119640,10289877,10463872,10644851,..
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,5704500,6665000,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100,7536100,..
"Population, total",SP.POP.TOTL,Hungary,HUN,10373988,10210971,9843028,9814023,9787966,9775564,9771141,9750149,9709891,9644377,9592186,..
"Population, total",SP.POP.TOTL,Iceland,ISL,254826,281205,330815,335439,343400,352721,360563,366463,372520,382003,393349,..
"Population, total",SP.POP.TOTL,India,IND,864972221,1057922733,1328024498,1343944296,1359657400,1374659064,1389030312,1402617695,1414203896,1425423212,1438069596,..
"Population, total",SP.POP.TOTL,Indonesia,IDN,183501098,216077790,261799249,264627418,267346658,269951846,272489381,274814866,276758053,278830529,281190067,..
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,58380092,66418659,82619362,83812228,85026754,86117998,87051648,87723443,88455488,89524246,90608707,..
"Population, total",SP.POP.TOTL,Iraq,IRQ,17581206,24424056,37560535,38469627,39337353,40265624,41192171,42116605,43071211,44070551,45074049,..
"Population, total",SP.POP.TOTL,Ireland,IRL,3513974,3805174,4701957,4755335,4807388,4867316,4934340,4985382,5033164,5165700,5307600,..
"Population, total",SP.POP.TOTL,Isle of Man,IMN,68916,75659,83593,83466,83609,83805,83957,84064,84106,84132,84165,..
"Population, total",SP.POP.TOTL,Israel,ISR,4660000,6289000,8380100,8546000,8713300,8882800,9054000,9215100,9371400,9557500,9756600,..
"Population, total",SP.POP.TOTL,Italy,ITA,56719240,56942108,60730582,60627498,60536709,60421760,59729081,59438851,59133173,59013667,58993475,..
"Population, total",SP.POP.TOTL,Jamaica,JAM,2379877,2607826,2802534,2809915,2815764,2820097,2823271,2830739,2837682,2839144,2839786,..
"Population, total",SP.POP.TOTL,Japan,JPN,123478000,126843000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989,124516650,..
"Population, total",SP.POP.TOTL,Jordan,JOR,3621908,5386945,9544729,10006367,10234226,10462306,10671891,10865228,11066356,11256263,11439213,..
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,17154054,15501103,18084169,18363600,18651931,18932727,19209555,19482117,19743603,20034609,20330104,..
"Population, total",SP.POP.TOTL,Kenya,KEN,22892651,30642890,47088526,48139687,49197766,50207107,51202827,52217334,53219166,54252461,55339003,..
"Population, total",SP.POP.TOTL,Kiribati,KIR,74855,88613,116815,118478,120275,122084,123921,126099,128377,130469,132530,..
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,21112137,23665910,25575350,25698326,25817709,25931147,26037632,26136312,26232534,26328845,26418204,..
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,42869283,47008111,51014947,51217803,51361911,51585058,51764822,51836239,51769539,51672569,51712619,..
"Population, total",SP.POP.TOTL,Kosovo,XKX,1973790,1802493,1788274,1777568,1791019,1797086,1788891,1790152,1786080,1768096,1756366,..
"Population, total",SP.POP.TOTL,Kuwait,KWT,1684819,1954709,3834574,4004096,4154812,4323515,4442316,4400267,4360865,4589643,4853420,..
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,4391236,4898361.5,6040035.5,6175337.5,6306695.5,6444078.5,6590211,6726595.5,6851224,6975219.5,7099750,..
"Population, total",SP.POP.TOTL,Lao PDR,LAO,4311955,5431212,6801645,6908802,7018147,7128045,7237636,7346533,7453194,7559007,7664993,..
"Population, total",SP.POP.TOTL,Latvia,LVA,2663151,2367550,1977527,1959537,1942248,1927174,1913822,1900449,1884490,1879383,1877445,..
"Population, total",SP.POP.TOTL,Lebanon,LBN,3595175,4329340,6472469,6323060,6160128,5984119,5794594,5702398,5718122,5744489,5773493,..
"Population, total",SP.POP.TOTL,Lesotho,LSO,1809696,2003913,2104611,2130422,2157110,2183603,2209405,2235727,2261542,2286110,2311472,..
"Population, total",SP.POP.TOTL,Liberia,LBR,2223667,2928117,4659431,4755608,4848925,4944726,5043721,5149463,5259323,5373294,5493031,..
"Population, total",SP.POP.TOTL,Libya,LBY,4445239,5305021,6531819,6632126,6738770,6849055,6951033,7045399,7135175,7223805,7305659,..
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,28742,32645,37494,37716,37962,38246,38563,38901,39182,39493,39850,..
"Population, total",SP.POP.TOTL,Lithuania,LTU,3697838,3499536,2904910,2868231,2828403,2801543,2794137,2794885,2800839,2831639,2871585,..
"Population, total",SP.POP.TOTL,Luxembourg,LUX,381850,436300,569604,582014,596336,607950,620001,630419,640064,653103,666430,..
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,334950,430600,642900,652500,648400,658900,672000,685400,682500,677300,678800,..
