Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Population, total",SP.POP.TOTL,Russian Federation,RUS,147969406,146596869,144640716,145015460,145293260,145398106,145453291,145245148,144746762,144236933,143826130,..
"Population, total",SP.POP.TOTL,Rwanda,RWA,7375307,8213931,11640022,11919183,12202060,12487996,12776103,13065837,13355260,13651030,13954471,..
"Population, total",SP.POP.TOTL,Samoa,WSM,169042,181685,201782,203499,205415,207582,209780,211944,213779,215261,216663,..
"Population, total",SP.POP.TOTL,San Marino,SMR,23475,26799,32897,33101,33825,34522,34663,34770,34252,33755,33860,..
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,122980,144018,200291,203689,206970,210187,213392,217435,221961,226305,230871,..
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,10640691,16177722,29816382,30954198,30977355,30196281,30063799,31552510,30784383,32175224,33264292,..
"Population, total",SP.POP.TOTL,Senegal,SEN,7720523,9968260,14593331,15034521,15475002,15914498,16352922,16789219,17220867,17651103,18077573,..
"Population, total",SP.POP.TOTL,Serbia,SRB,7897937,7516346,7095383,7058322,7020858,6982604,6945235,6899126,6834326,6664449,6623183,..
"Population, total",SP.POP.TOTL,Seychelles,SYC,69507,81131,93419,94677,95843,96762,97625,98462,99258,119878,119773,..
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,4196828,4423611,7037655,7205328,7379299,7554563,7731991,7912558,8094602,8276807,8460512,..
"Population, total",SP.POP.TOTL,Singapore,SGP,3047132,4027887,5535002,5607283,5612253,5638676,5703569,5685807,5453566,5637022,5917648,..
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,28061,30773,37471,38249,38996,39712,40385,41008,41571,42139,42749,..
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5299187,5388720,5423801,5430798,5439232,5446771,5454147,5458827,5447247,5431752,5426740,..
"Population, total",SP.POP.TOTL,Slovenia,SVN,1998161,1988925,2063531,2065042,2066388,2073894,2088385,2102419,2108079,2112076,2120461,..
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,331435,440469,639415,662379,685672,709101,728147,744498,762591,781066,800005,..
"Population, total",SP.POP.TOTL,Somalia,SOM,7082811,8838713,13806963,14348740,14916629,15452487,16030971,16651191,17271431,17801897,18358615,..
"Population, total",SP.POP.TOTL,South Africa,ZAF,40746268,47159719,56723537,57259551,57635162,58613001,59587885,60562381,61502603,62378410,63212384,..
"Population, total",SP.POP.TOTL,South Sudan,SSD,4737633,6032267,11107561,10830102,10259154,10122977,10423384,10698467,10865780,11021177,11483374,..
"Population, total",SP.POP.TOTL,Spain,ESP,38867322,40567864,46444832,46484062,46593236,46797754,47134837,47365655,47415794,47759127,48347910,..
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,16352458,19293054,20970000,21209000,21444000,21670000,21803000,21919000,22156000,22181000,22037000,..
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,40432,45248,47087,47075,47050,47008,46952,46870,46763,46709,46758,..
"Population, total",SP.POP.TOTL,St. Lucia,LCA,137857,158616,174905,175646,176342,177017,177661,178250,178522,178781,179285,..
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,28224,29996,37369,37175,36837,36012,34267,31786,29961,28870,27515,..
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,111812,113545,106960,106349,105663,104926,104167,103526,102841,102046,101323,..
"Population, total",SP.POP.TOTL,Sudan,SDN,22021481,27816745,40024431,41259892,42714306,44230596,45548175,46789231,48066924,49383346,50042791,..
"Population, total",SP.POP.TOTL,Suriname,SUR,412493,476643,581627,587757,593713,599513,605768,612317,617896,623164,628886,..
"Population, total",SP.POP.TOTL,Sweden,SWE,8558835,8872109,9799186,9923085,10057698,10175214,10278887,10353442,10415811,10486941,10536632,..
"Population, total",SP.POP.TOTL,Switzerland,CHE,6715519,7184250,8282396,8373338,8451840,8514329,8575280,8638167,8704546,8777088,8888093,..
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,12579208,16637888,19424618,19193834,19224668,19577845,20353534,21049429,21628839,22462173,23594623,..
"Population, total",SP.POP.TOTL,Tajikistan,TJK,5398768,6284735,8643840,8865631,9085946,9307333,9529966,9749310,9966908,10182222,10389799,..
