Entity,Code,Year,Renewables (% equivalent primary energy)
Argentina,ARG,1985,12.759911
Argentina,ARG,1986,12.297879
Argentina,ARG,1987,12.246871
Argentina,ARG,1988,8.41695
Argentina,ARG,1989,7.5432053
Argentina,ARG,1990,10.292411
Argentina,ARG,1991,9.080977
Argentina,ARG,1992,10.206499
Argentina,ARG,1993,12.215967
Argentina,ARG,1994,13.306112
Argentina,ARG,1995,12.535252
Argentina,ARG,1996,10.224622
Argentina,ARG,1997,12.513889
Argentina,ARG,1998,11.481931
Argentina,ARG,1999,9.2246065
Argentina,ARG,2000,12.283153
Argentina,ARG,2001,15.936239
Argentina,ARG,2002,16.247976
Argentina,ARG,2003,14.40661
Argentina,ARG,2004,12.185576
Argentina,ARG,2005,12.790038
Argentina,ARG,2006,13.449895
Argentina,ARG,2007,10.613074
Argentina,ARG,2008,10.447249
Argentina,ARG,2009,11.797742
Argentina,ARG,2010,11.650167
Argentina,ARG,2011,10.914267
Argentina,ARG,2012,10.176803
Argentina,ARG,2013,10.940408
Argentina,ARG,2014,11.038968
Argentina,ARG,2015,10.893359
Argentina,ARG,2016,10.171791
Argentina,ARG,2017,10.979132
Argentina,ARG,2018,11.331651
Argentina,ARG,2019,11.911148
Argentina,ARG,2020,12.310073
Argentina,ARG,2021,11.335143
Argentina,ARG,2022,12.188763
Argentina,ARG,2023,14.102217
Asia,,1965,7.8735447
Asia,,1966,7.4938087
Asia,,1967,6.7346387
Asia,,1968,6.963028
Asia,,1969,6.3012996
Asia,,1970,5.6618876
Asia,,1971,5.682511
Asia,,1972,5.4817533
Asia,,1973,4.725402
Asia,,1974,5.2894354
Asia,,1975,5.4329767
Asia,,1976,5.272848
Asia,,1977,4.885452
Asia,,1978,4.842396
Asia,,1979,5.0050187
Asia,,1980,5.387261
Asia,,1981,5.6962633
Asia,,1982,5.688111
Asia,,1983,5.652118
Asia,,1984,5.339281
Asia,,1985,5.3519063
Asia,,1986,5.1909785
Asia,,1987,5.0590653
Asia,,1988,5.424969
Asia,,1989,5.319675
Asia,,1990,5.339283
Asia,,1991,5.189105
Asia,,1992,5.005564
Asia,,1993,5.3127103
Asia,,1994,5.0516157
Asia,,1995,5.2715545
Asia,,1996,5.0185966
Asia,,1997,4.8939977
Asia,,1998,5.178817
Asia,,1999,4.9296236
Asia,,2000,4.901544
Asia,,2001,5.073653
Asia,,2002,4.9854317
Asia,,2003,4.7931614
Asia,,2004,5.098543
Asia,,2005,4.9199805
Asia,,2006,5.117429
Asia,,2007,5.0853066
Asia,,2008,5.6052365
Asia,,2009,5.4584856
Asia,,2010,5.946822
Asia,,2011,5.8778796
Asia,,2012,6.477824
Asia,,2013,6.987413
Asia,,2014,7.551865
Asia,,2015,7.908184
Asia,,2016,8.438702
Asia,,2017,8.845371
Asia,,2018,9.349623
Asia,,2019,10.002659
Asia,,2020,10.741154
Asia,,2021,11.2254095
Asia,,2022,11.969987
Asia,,2023,12.191385
Asia Pacific (EI),,1965,8.879345
Asia Pacific (EI),,1966,8.41833
Asia Pacific (EI),,1967,7.620631
Asia Pacific (EI),,1968,7.8148856
Asia Pacific (EI),,1969,7.054254
Asia Pacific (EI),,1970,6.3963394
Asia Pacific (EI),,1971,6.486787
Asia Pacific (EI),,1972,6.238836
Asia Pacific (EI),,1973,5.494734
Asia Pacific (EI),,1974,6.0948095
Asia Pacific (EI),,1975,6.190249
Asia Pacific (EI),,1976,5.912253
Asia Pacific (EI),,1977,5.47068
Asia Pacific (EI),,1978,5.3867373
Asia Pacific (EI),,1979,5.630934
Asia Pacific (EI),,1980,5.9968095
Asia Pacific (EI),,1981,6.3445344
Asia Pacific (EI),,1982,6.3195252
Asia Pacific (EI),,1983,6.4025097
Asia Pacific (EI),,1984,6.0936494
Asia Pacific (EI),,1985,6.1765556
Asia Pacific (EI),,1986,6.0954504
Asia Pacific (EI),,1987,5.7225227
